caption_clean,image+caption_target,political_leaning,likes,retweet_count,comment_count,view_count,poster_follower_count,poster_frequency,total_posts,mentions,hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,topic_label,image_filename,comment_file,Post ID,URL to tweet,creation_date,poster_handle,poster_display_name,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
 I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. ✅️✅️✅️ ✅️✅️✅️ #IFBAP 🇺🇸🇺🇸🇺🇸 ,pro-trump,R,3,1,0,32,12331,29.6340206185567,5749,@DixieReLoadz @rubiconjay @DannyLew1956 @WhatDaFookNC @Schmidtster_17 @juliaev29499565 @Bluepit19651 @Pitpass @MericleGray @Lord_God_Love,#IFBAP,,0.451,0.549,0.0,0.9062,"['Jesus', '️✅️✅️ ✅️✅️', '🇸']",['United Patriots'],[],[],"['🇺', '🇺']",Politcal Social Network,Twitter_Scrape\Target_Trump\Pro\Images\wave.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\wave.csv,1854522775899119917,https://x.com/Lord_God_Love/status/1854522775899119917/photo/1,Thu Nov 07 13:54:19 +0000 2024,Lord_God_Love,Lord God,0.004890269599854946,0.0004631206684280187,0.0010050308192148805,0.0009607408428564668,0.002403549151495099,0.002367639448493719,0.0006947456276975572
 ,pro-trump,R,2,0,0,50,12331,29.6340206185567,5749,@GuntherEagleman,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\america_last.jpg,,1854160887579291675,https://x.com/Lord_God_Love/status/1854160887579291675/photo/1,Wed Nov 06 13:56:18 +0000 2024,Lord_God_Love,Lord God,0.004885380156338215,0.0005059048417024314,0.0010758009739220142,0.0013730695936828852,0.0025498608592897654,0.0009504007175564766,0.0008830556180328131
 ,pro-trump,R,3,0,1,113,12331,29.6340206185567,5749,@TuckerCarlson @shopaholicdivas,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trump_kneel.jpg,,1853173368092008551,https://x.com/Lord_God_Love/status/1853173368092008551/photo/1,Sun Nov 03 20:32:15 +0000 2024,Lord_God_Love,Lord God,0.004885380156338215,0.0005059048417024314,0.0010758009739220142,0.0013730695936828852,0.0025498608592897654,0.0009504007175564766,0.0008830556180328131
 ,pro-trump,R,31,8,0,833,12331,29.6340206185567,5749,@OliLondonTV @SDachsie,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\peanut_cropped.jpg,,1853172493462233255,https://x.com/Lord_God_Love/status/1853172493462233255/photo/1,Sun Nov 03 20:28:47 +0000 2024,Lord_God_Love,Lord God,0.004885380156338215,0.0005059048417024314,0.0010758009739220142,0.0013730695936828852,0.0025498608592897654,0.0009504007175564766,0.0008830556180328131
" Thanks, my president. God bless you 🙏 🤍🕊 ",pro-trump,R,2,0,0,78,12331,29.6340206185567,5749,@realDonaldTrump,,,0.661,0.339,0.0,0.7783,['God'],[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Pro\Images\trump_hug.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump_hug.csv,1852428096063820057,https://x.com/Lord_God_Love/status/1852428096063820057/photo/1,Fri Nov 01 19:10:49 +0000 2024,Lord_God_Love,Lord God,0.004277254454791546,0.0005493165808729827,0.0012101043248549104,0.0013832945842295885,0.002244040137156844,0.0016708736075088382,0.0008637345745228231
" We are together, my president, to rebuild the nation. 🇺🇸🙏🤍🕊 We will have a great nation again. 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍 ",pro-trump,R,5,5,0,205,12331,29.6340206185567,5749,@realDonaldTrump,,,0.204,0.796,0.0,0.6249,['🇸🙏🤍🕊'],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trump_truck.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump_truck.csv,1852573651842793564,https://x.com/Lord_God_Love/status/1852573651842793564/photo/1,Sat Nov 02 04:49:12 +0000 2024,Lord_God_Love,Lord God,0.004491844214498997,0.0005061978590674698,0.0010739885037764907,0.001261020079255104,0.002331655938178301,0.0011741481721401215,0.0007325284532271326
 First free speech.👊👊👊 ,pro-trump,R,3,0,0,109,12331,29.6340206185567,5749,@elonmusk,,,0.623,0.377,0.0,0.5106,[],[],[],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Pro\Images\elon_smile.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\elon_smile.csv,1852788892191363330,https://x.com/Lord_God_Love/status/1852788892191363330/photo/1,Sat Nov 02 19:04:29 +0000 2024,Lord_God_Love,Lord God,0.004328387789428234,0.0005064626457169652,0.0011122020659968257,0.0012556512374430895,0.0023393165320158005,0.0012214320013299584,0.0008825223194435239
 We protect our pets. ,pro-trump,R,254,48,2,6527,12331,29.6340206185567,5749,@elonmusk,,,0.464,0.536,0.0,0.3818,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\run_duck.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\run_duck.csv,1852807414212645360,https://x.com/Lord_God_Love/status/1852807414212645360/photo/1,Sat Nov 02 20:18:05 +0000 2024,Lord_God_Love,Lord God,0.004377123899757862,0.0005033075576648116,0.001054402207955718,0.0013012884883210063,0.0023530852049589157,0.0012272191233932972,0.0007684975862503052
 ,pro-trump,R,3,1,0,63,12331,29.6340206185567,5749,@catturd2,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trumpXpeanut.jpg,,1852893339944735179,https://x.com/Lord_God_Love/status/1852893339944735179/photo/1,Sun Nov 03 01:59:31 +0000 2024,Lord_God_Love,Lord God,0.004885380156338215,0.0005059048417024314,0.0010758009739220142,0.0013730695936828852,0.0025498608592897654,0.0009504007175564766,0.0008830556180328131
" Thank you, Scott 🤍❤️🕊🇺🇸 Evil will not win. Vote Trump. Find red votes and let's vote. Together our light will overcome the darkness. ",pro-trump,R,9,3,1,236,12331,29.6340206185567,5749,@ScottPresler,,,0.081,0.613,0.306,-0.7889,"['Scott', 'Trump']",[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\jesusxpeanut.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\jesusxpeanut.csv,1853129173578990077,https://x.com/Lord_God_Love/status/1853129173578990077/photo/1,Sun Nov 03 17:36:39 +0000 2024,Lord_God_Love,Lord God,0.01736564375460148,0.0008213737746700644,0.001469490467570722,0.0026100720278918743,0.010594154708087444,0.00303248199634254,0.0007039637421257794
 Out with Obama and the deep state. November 5th he has to be out. Vote Trump 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 ,pro-trump,R,7,1,0,56,12331,29.6340206185567,5749,@libsoftiktok,,,0.0,1.0,0.0,0.0,"['Obama', '🇸']",[],[],[],"['November 5th', '🇺', '🇺', '🇺', '🇺']",Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\animal_guilt.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\animal_guilt.csv,1853158955134099458,https://x.com/Lord_God_Love/status/1853158955134099458/photo/1,Sun Nov 03 19:34:59 +0000 2024,Lord_God_Love,Lord God,0.005284782033413649,0.00047030876157805324,0.0010994268814101815,0.0011381475487723947,0.0028533923905342817,0.0010436156298965216,0.0007821430917829275
 I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. 🚀🚀🚀 🚀🚀🚀 #IFBAP 🇺🇸🇺🇸🇺🇸⭐️⭐️⭐️⭐️⭐️⭐️ ,pro-trump,R,0,0,0,26,12331,29.6340206185567,5749,@EXCELLENTSALVIC @Lord_God_Love,#IFBAP,,0.451,0.549,0.0,0.9062,['Jesus'],['United Patriots'],[],['🇸'],"['🇺', '🇺']",Politcal Social Network,Twitter_Scrape\Target_Trump\Pro\Images\armed_animal.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\armed_animal.csv,1853215578556645654,https://x.com/Lord_God_Love/status/1853215578556645654/photo/1,Sun Nov 03 23:19:59 +0000 2024,Lord_God_Love,Lord God,0.004890269599854946,0.0004631206684280187,0.0010050308192148805,0.0009607408428564668,0.002403549151495099,0.002367639448493719,0.0006947456276975572
"Great friend Tomais , I am very grateful to you for always helping us. I'm inspired by you to help small accounts like mine. United we will win.🇺🇲🇺🇲 Drum, I want to say that tomorrow the celebration will be big. Vote Trump.🇺🇲🇺🇲🇺🇲 I follow everyone back.🇺🇸🇺🇸🇺🇸 I reposted. Let's walk together.",pro-trump,R,7,6,0,148,12331,29.6340206185567,5749,@TomaisMac,,,0.406,0.594,0.0,0.9729,"['🇲 Drum', 'Trump', '🇸']",['Tomais'],[],[],"['tomorrow', '🇺', '🇺']",Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trump_walk.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump_walk.csv,1853478298111930862,https://x.com/Lord_God_Love/status/1853478298111930862/photo/1,Mon Nov 04 16:43:56 +0000 2024,Lord_God_Love,Lord God,0.004654130898416042,0.0004333560646045953,0.0009840046986937523,0.0010205794824287295,0.0025260671973228455,0.001323507633060217,0.0006262228125706315
 FOR OUR RECONSTRUCTED NATION VOTE TRUMP. OUR DREAMS WILL NOT BE LOST. THE ONLY CHANCE WE HAVE IS TRUMP. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 ,pro-trump,R,30,13,1,2828,12331,29.6340206185567,5749,@elonmusk @realDonaldTrump @joerogan,,,0.338,0.662,0.0,0.8258,['🇸'],[],[],[],"['🇺', '🇺', '🇺', '🇺', '🇺']",Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\smile_flag.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\smile_flag.csv,1853627833718894612,https://x.com/Lord_God_Love/status/1853627833718894612/photo/1,Tue Nov 05 02:38:08 +0000 2024,Lord_God_Love,Lord God,0.034196462482213974,0.0013713686494156718,0.0012765233404934406,0.0033154417760670185,0.02557033859193325,0.0031660799868404865,0.0006102988263592124
They didn’t replace Biden w/Kamala bc she would’ve had to start doing all the LIES she’s is promising while campaigning.. so instead the Democrats just let Biden stay(not running the country) so Kamala can run on her Fake Promises and deceive the people .. ,anti-harris,R,0,1,0,30,3493,29.99829931972789,52917,,,,0.099,0.727,0.174,-0.6166,"['Biden w/Kamala', 'Biden']",[],['Kamala'],['Democrats'],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\sheep.jpg,,1853316747660583366,https://x.com/NotADirtyDem/status/1853316747660583366/photo/1,Mon Nov 04 06:02:00 +0000 2024,NotADirtyDem,Censored American NO MORE,0.05823398381471634,0.0015708572464063764,0.0017488860758021474,0.002877593971788883,0.051990680396556854,0.005072790198028088,0.0008556217653676867
 ,anti-harris,R,0,0,0,21,3493,29.99829931972789,52917,@elonmusk,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\floor.jpg,,1850475722130792826,https://x.com/NotADirtyDem/status/1850475722130792826/photo/1,Sun Oct 27 09:52:46 +0000 2024,NotADirtyDem,Censored American NO MORE,0.004885380156338215,0.0005059048417024314,0.0010758009739220142,0.0013730695936828852,0.0025498608592897654,0.0009504007175564766,0.0008830556180328131
 Only Donald Trump can save the animals from Democrat policies. ,,,2,0,0,32,2399,29.54486422668241,150147,@RepSwalwell,,,0.262,0.738,0.0,0.4939,['Donald Trump'],[],[],['Democrat'],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Pro\Images\kind_trump.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump-kind.csv,1833608243286835272,https://x.com/Tek_Roo/status/1833608243286835272,Tue Sep 10 20:47:26 +0000 2024,Tek_Roo,Tek Roo 2028 🇺🇸,0.14002706110477448,0.0038431554567068815,0.0030429575126618147,0.008145990781486034,0.10122476518154144,0.04131211340427399,0.0007336948183365166
 She can speak with her at McDonald’s next year ,anti-harris,R,97,17,2,2749,27554,4.819353070175438,17581,@CollinRugg,,,0.0,1.0,0.0,0.0,[],['McDonald’s'],[],[],['next year'],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\MC_prost2.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\MC_prost2.csv,1855631149692768412,https://x.com/Twitermytweet/status/1855631149692768412/photo/1,Sun Nov 10 15:18:36 +0000 2024,Twitermytweet,Mr. Bigglesworth Memes 𝕏,0.00422244518995285,0.0005200491286814213,0.001095991232432425,0.0013073518639430404,0.0023450637236237526,0.001649275654926896,0.0007623843266628683
 Time to take out the trash and move in the White House ,pro-trump,R,901,84,25,62827,27554,4.819353070175438,17581,@KaiTrumpGolfs @elonmusk,,,0.0,1.0,0.0,0.0,[],['the White House'],[],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trashman.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trashman.csv,1854285887560921512,https://x.com/Twitermytweet/status/1854285887560921512/photo/1,Wed Nov 06 22:13:01 +0000 2024,Twitermytweet,Mr. Bigglesworth Memes 𝕏,0.6808666586875916,0.030437486246228218,0.023169981315732002,0.08594349771738052,0.6353644132614136,0.029005443677306175,0.002794804284349084
 This is more reason to lock them all up ,anti-harris,R,20,3,0,535,27554,4.819353070175438,17581,@CollinRugg,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\harris_team_jail2.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_team_jail2.csv,1846228703170490487,https://x.com/Twitermytweet/status/1846228703170490487/photo/1,Tue Oct 15 16:36:38 +0000 2024,Twitermytweet,Mr. Bigglesworth Memes 𝕏,0.4857025146484375,0.03125755861401558,0.003188623348250985,0.3706609308719635,0.05185354873538017,0.04530062526464462,0.0016982549568638206
 Remember this when you vote!!! ,anti-harris,R,2,1,0,121,27554,4.819353070175438,17581,@MattWallace888,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\flood.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\flood.csv,1846309007352357011,https://x.com/Twitermytweet/status/1846309007352357011/photo/1,Tue Oct 15 21:55:44 +0000 2024,Twitermytweet,Mr. Bigglesworth Memes 𝕏,0.004632648080587387,0.0004548458964563906,0.0009932814864441752,0.0011027224827557802,0.002589939394965768,0.0010019338224083185,0.0006587435491383076
BREAKING: New York State could Force Trump to Live in a Jail Cell for the entire 4 years of his Presidency ,anti-trump,D,28740,3540,1190,713324,200847,13.73565700185071,44531,,,,0.0,1.0,0.0,0.0,['Force Trump to Live'],[],['New York State'],[],['the entire 4 years'],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\prison_suit.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\prison_suit.csv,1854934221825229162,https://x.com/politvidchannel/status/1854934221825229162/photo/1,Fri Nov 08 17:09:16 +0000 2024,politvidchannel,PoliticsVideoChannel,0.19067895412445068,0.01053567137569189,0.005284175742417574,0.07392985373735428,0.10609354823827744,0.022088266909122467,0.0026567098684608936
"BREAKING: Danica Patrick is in love with Scott Jennings. In response, the Trump campaign visits another a MAGA McDonalds with Putin ",anti-trump,D,2,1,1,332,925,25.25850965961361,27456,,,,0.181,0.819,0.0,0.6369,"['Danica Patrick', 'Scott Jennings', 'Putin']",['Trump'],[],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_putin.jpg,,1848736960652993019,https://x.com/TheVladsven/status/1848736960652993019/photo/1,Tue Oct 22 14:43:33 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.013015943579375744,0.0006950300303287804,0.0011986044701188803,0.001988425385206938,0.006585178431123495,0.0032967268489301205,0.0016776552656665444
"BREAKING - IDF officially confirms Israel striking Iran!!! Trump orders North Korean troops to Ukraine. Israel and Iran at war, Putin demands backrub from Trump, who complains in a golden diaper. Beyonce loves Kamala #iran #Tehran #Israel ",anti-trump,D,55,20,14,21295,925,25.25850965961361,27456,,"#iran, #Tehran, #Israel",,0.086,0.743,0.171,-0.5684,"['Trump', 'Putin']",['Trump'],"['Israel', 'Iran', 'Ukraine', 'Israel', 'Iran', 'Kamala', 'Tehran', 'Israel']",['North Korean'],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_nkposter.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_nkposter.csv,1849964188808118665,https://x.com/TheVladsven/status/1849964188808118665/photo/1,Sat Oct 26 00:00:07 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.2301822006702423,0.01402964349836111,0.00665878364816308,0.07320743054151535,0.09831591695547104,0.18216586112976074,0.004256191197782755
"BREAKING - IDF officially confirms Israel striking Iran breakfast cereal production facilities. Israel and Iran at war, Putin owns Trump, who sold nuclear war plans to Saudis for $2b. Beyonce loves Kamala not MAGA #iran #Tehran #Israel ",anti-trump,D,1,0,0,1202,925,25.25850965961361,27456,,"#iran, #Tehran, #Israel",,0.083,0.742,0.175,-0.6249,['Putin'],['Trump'],"['Israel', 'Iran', 'Israel', 'Iran', 'Kamala', 'iran', 'Tehran', 'Israel']",['Saudis'],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_docposter.jpg,,1849964830838620214,https://x.com/TheVladsven/status/1849964830838620214/photo/1,Sat Oct 26 00:02:41 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.0506490096449852,0.002875297563150525,0.0020161308348178864,0.01755647361278534,0.019137108698487282,0.042843788862228394,0.0019856393337249756
"BREAKING - IDF officially confirms Israel striking Iran!!! Trump orders North Korean troops to Ukraine. Israel and Iran at war, Putin demands backrub from Trump MAGA anger cult, who complains in a golden diaper. Beyonce loves Kamala, not Melatonin Trump #iran #Tehran #Israel ",anti-trump,D,1,1,4,1348,925,25.25850965961361,27456,,"#iran, #Tehran, #Israel",,0.071,0.715,0.214,-0.8114,"['Trump', 'Putin']","['Trump', 'Melatonin']","['Israel', 'Iran', 'Ukraine', 'Israel', 'Iran', 'Kamala', 'Tehran', 'Israel']",['North Korean'],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\devil_mel.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\devil_mel.csv,1849967223496114569,https://x.com/TheVladsven/status/1849967223496114569/photo/1,Sat Oct 26 00:12:11 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.2474866360425949,0.015127099119126797,0.007356097921729088,0.06639516353607178,0.13838636875152588,0.17180891335010529,0.00362311745993793
"""I want to thank the Washington Post for making it clear that I am above the law and Jesus. I can't wait to arrest Nicole Wallace and Former Chief of Staff John Kelly."" - Donald Trump #WaPoMeltDown #KamalaHarris #TrumpVance2024 #WashingtonPost ",anti-trump,D,2,1,0,200,925,25.25850965961361,27456,,"#WaPoMeltDown, #KamalaHarris, #TrumpVance2024, #WashingtonPost",,0.204,0.796,0.0,0.7533,"['Jesus', 'Nicole Wallace', 'John Kelly', 'KamalaHarris', 'WashingtonPost']",['the Washington Post'],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\multi_trump_devil.jpg,,1850273660973817954,https://x.com/TheVladsven/status/1850273660973817954/photo/1,Sat Oct 26 20:29:51 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.03429386019706726,0.0017125565791502595,0.0016679300460964441,0.013743910007178783,0.017770815640687943,0.011002285405993462,0.0006757288356311619
 I think Trump has Covid! ,anti-trump,D,0,0,0,12,925,25.25850965961361,27456,@ResisterSis20,,,0.0,1.0,0.0,0.0,"['Trump', 'Covid']",[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\trump_trash.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_trash.csv,1853458731066872005,https://x.com/TheVladsven/status/1853458731066872005/photo/1,Mon Nov 04 15:26:11 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.023531416431069374,0.0006989762769080698,0.0012722063111141324,0.00038223472074605525,0.018943525850772858,0.0010597525397315621,0.0023854339960962534
"Once again, I proudly voted for Jonald J. Trump Jr. Make Russia Great Again. 🇺🇸 #VotedforTrump #Trump2024 #TrumpVance2024 #HarrisWalz2024 #BlueWave2024 ",anti-trump,D,1,2,0,184,925,25.25850965961361,27456,,"#VotedforTrump, #Trump2024, #TrumpVance2024, #HarrisWalz2024, #BlueWave2024",,0.312,0.688,0.0,0.8271,['Jonald J. Trump Jr.'],[],[],[],['🇺'],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\putin_support_trump.jpg,,1853815884751475021,https://x.com/TheVladsven/status/1853815884751475021/photo/1,Tue Nov 05 15:05:23 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.005945444107055664,0.00040141845238395035,0.0008533330401405692,0.0007709191995672882,0.003678281558677554,0.001067560981027782,0.0006362033309414983
"Hi, I'm Vlad. I'm not afraid to say that I voted for Donald J. Trump again. MAGA is the best for my nation. Yours, not so much. 🇺🇸 #VotedforTrump #Trump2024 #TrumpVance2024 #HarrisWalz2024 #russia ",anti-trump,D,0,0,0,155,925,25.25850965961361,27456,,"#VotedforTrump, #Trump2024, #TrumpVance2024, #HarrisWalz2024, #russia",,0.119,0.881,0.0,0.6369,['Donald J. Trump'],['MAGA'],['russia'],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\putin_support.jpg,,1853816344505901333,https://x.com/TheVladsven/status/1853816344505901333/photo/1,Tue Nov 05 15:07:13 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.016451269388198853,0.0006308144074864686,0.0010952375596389174,0.0009687481797300279,0.011730799451470375,0.0016727877082303166,0.0007708979537710547
VOTE! We have a new presidential outfit ready for Jonald J. Trump Jr. 🇺🇸 #VotedforTrump #Trump2024 #TrumpVance2024 #HarrisWalz2024 #russia #TrumpIsGoingDown #BlueWave2024 ,anti-trump,D,0,0,0,259,925,25.25850965961361,27456,,"#VotedforTrump, #Trump2024, #TrumpVance2024, #HarrisWalz2024, #russia, #TrumpIsGoingDown, #BlueWave2024",,0.128,0.872,0.0,0.4199,['Jonald J. Trump Jr.'],['VOTE'],[],[],['🇺'],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\trump_prison.jpg,,1853818658231124046,https://x.com/TheVladsven/status/1853818658231124046/photo/1,Tue Nov 05 15:16:25 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.0067616854794323444,0.00043464225018396974,0.0009563768398948014,0.0007286490872502327,0.004542128182947636,0.0014984708977863193,0.0005782697699032724
"Donald Trump has won everything, this Twitter account is done, I surrender. All hail King Trump. Merrick Garland, you did nothing to save the USA. #trump #sad #MerrickGarland #Election2024 ",anti-trump,D,0,0,0,145,925,25.25850965961361,27456,,"#trump, #sad, #MerrickGarland, #Election2024",,0.153,0.766,0.081,0.3339,"['Donald Trump', 'Twitter', 'King Trump', 'Merrick Garland']",['MerrickGarland'],['USA'],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Anti\Images\dictator_trump.jpg,,1854408557896057277,https://x.com/TheVladsven/status/1854408557896057277/photo/1,Thu Nov 07 06:20:28 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.0217127688229084,0.0007772037643007934,0.001351678278297186,0.0017460136441513896,0.016309812664985657,0.0015733923064544797,0.000596144120208919
Joe Biden is Dead . Meathead Justin Trudeau is still Dead. Constitutional Amendment ? How about enforce the laws we have. Jim Acosta say what - Trump ? YEP NOPE YEEEEHAW. Kim JOng UN has dental floss ,anti-trump,D,0,1,0,863,925,25.25850965961361,27456,,,,0.07,0.716,0.214,-0.7922,"['Joe Biden', 'Meathead Justin Trudeau', 'Jim Acosta', 'Kim JOng UN']",['Dead'],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_prison2.jpg,,1868817338134675555,https://x.com/TheVladsven/status/1868817338134675555/photo/1,Tue Dec 17 00:35:49 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.38492876291275024,0.01843760348856449,0.03962120786309242,0.10126939415931702,0.3107739984989166,0.009189664386212826,0.009639795869588852
"Luigi Mangione is a friend of mine who valiantly stormed the capitol on January 6. Give him a McRib, not jail. Ivanka is hot. #Trump2024 ",anti-trump,D,0,1,0,717,925,25.25850965961361,27456,,#Trump2024,,0.127,0.873,0.0,0.4939,['Luigi Mangione'],[],[],[],['January 6'],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_guitar.jpg,,1866244349450957203,https://x.com/TheVladsven/status/1866244349450957203/photo/1,Mon Dec 09 22:11:40 +0000 2024,TheVladsven,Trump Resistance Factor 9,0.13179172575473785,0.003153052879497409,0.012563753873109818,0.0021612902637571096,0.033987533301115036,0.0025656558573246002,0.1271963268518448
Breaking News Trump has been arrested after a brief struggle with Police reports say images courtesy of Rooters ,anti-trump,D,211,47,45,25299,230581,166.71770623742455,828587,,,,0.114,0.639,0.247,-0.4404,[],[],[],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_running_arrest,Twitter_Scrape\Target_Trump\Anti\Comments\trump_run_arrest2.csv,1638266286307172353,https://x.com/Free_Media_Hub/status/1638266286307172353,Tue Mar 21 19:48:14 +0000 2023,Free_Media_Hub,Free Syria Media Hub,0.005386097356677055,0.0003997430030722171,0.00086701795225963,0.0008057576487772167,0.003186133224517107,0.0012211790308356285,0.0006567123346030712
25th November puff daddy and P Diddy ,anti-trump,D,12,6,1,1241,230581,166.71770623742455,828587,,,,0.0,1.0,0.0,0.0,[],[],[],[],['25th November'],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\diddy_trump.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\diddy_trump.csv,1853562860758044849,https://x.com/Free_Media_Hub/status/1853562860758044849/photo/1,Mon Nov 04 22:19:58 +0000 2024,Free_Media_Hub,Free Syria Media Hub,0.004595296457409859,0.0004838209424633533,0.0011392566375434399,0.001146082067862153,0.0023694997653365135,0.00100353779271245,0.0009792704368010163
#KamalaWinswithJoy ,anti-trump,D,4,2,1,56,4099,62.57857142857143,70088,,#KamalaWinswithJoy,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_sign.jpg,,1828204302369698219,https://x.com/Bloomer99999/status/1828204302369698219/photo/1,Mon Aug 26 22:54:06 +0000 2024,Bloomer99999,Nabster 💙🇺🇸🦅🇺🇸💙,0.004683216102421284,0.000512492551933974,0.0010814977576956153,0.0013689851621165872,0.002395488554611802,0.0009436013060621917,0.0008778604678809643
#TrumpIsALaughingStock ,anti-trump,D,14,1,2,2264,4099,62.57857142857143,70088,,#TrumpIsALaughingStock,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_heels.jpg,,1835850235022626962,https://x.com/Bloomer99999/status/1835850235022626962/photo/1,Tue Sep 17 01:16:19 +0000 2024,Bloomer99999,Nabster 💙🇺🇸🦅🇺🇸💙,0.5369691252708435,0.012959389947354794,0.03118351846933365,0.0048986622132360935,0.5311435461044312,0.014823916368186474,0.005180838517844677
